book_id,lemma,year,frequency
10148,anyone,2003,18
10148,anything,2003,7
10148,anywhere,2003,3
10148,apace,2003,1
10148,apart,2003,8
10148,apiece,2003,5
10148,aplenty,2003,2
10148,appear,2003,1
10148,appearest,2003,1
10148,appeareth,2003,1
10148,appearing,2003,1
10148,appears,2003,1
10148,appease,2003,1
10148,appertaining,2003,4
10148,appetite,2003,4
10148,apple,2003,2
10148,apples,2003,2
10148,applicable,2003,3
10148,apply,2003,1
10148,apprenticeship,2003,1
10148,approach,2003,1
10148,april,2003,1
10148,apron,2003,4
10148,apt,2003,2
10148,arched,2003,1
10148,archer,2003,19
10148,archers,2003,39
10148,archery,2003,10
10148,arches,2003,2
10148,archive,2003,13
10148,arcir,2003,1
10148,arden,2003,1
10148,argue,2003,1
10148,argument,2003,1
10148,arguments,2003,1
10148,aright,2003,2
10148,arise,2003,6
10148,arising,2003,1
10148,arm,2003,30
10148,armed,2003,8
10148,armor,2003,5
10148,arms,2003,51
10148,army,2003,2
10148,arose,2003,39
10148,around,2003,115
10148,arouse,2003,1
10148,array,2003,8
10148,arrayed,2003,2
10148,arrest,2003,3
10148,arriving,2003,1
10148,arrow,2003,59
10148,arrows,2003,35
10148,art,2003,183
10148,arthur,2003,38
10148,ascii,2003,2
10148,ashamed,2003,6
10148,ashby,2003,1
10148,ashen,2003,1
10148,aside,2003,16
10148,ask,2003,13
10148,askance,2003,3
10148,asked,2003,23
10148,asking,2003,2
10148,asleep,2003,3
10148,aspens,2003,1
10148,ass,2003,4
10148,assistance,2003,1
10148,associated,2003,7
10148,ate,2003,4
10148,athelstane,2003,1
10148,athirst,2003,3
10148,attached,2003,2
10148,attend,2003,1
10148,attendants,2003,1
10148,aught,2003,14
10148,author,2003,2
10148,authority,2003,3
10148,avail,2003,1
10148,available,2003,2
10148,avenged,2003,1
10148,avoid,2003,2
